submission_folder,job,started_at,n_total_trials,trial_directories,named_in_stats,pending,running,n_retries,n_errored
hookele__gpt5.1-codex-mini,2026-02-06__18-43-36,2026-02-06T18:43:38.888805,10,10,10,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-a-pass-1-20260327-225519,2026-03-27T22:55:30.660498,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-a-pass-2-20260329-013636,2026-03-29T01:36:48.278502,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-a-pass-3-20260330-095106,2026-03-30T09:51:04.619028,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-a-pass-4-20260402-104213,2026-04-02T10:42:23.395189,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-a-pass-5-20260404-003458,2026-04-04T00:35:08.266224,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-b-fix-pass-6-b-pass-1-20260404-194141,2026-04-04T19:41:51.764993,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-b-fix-pass-6-b-pass-1-20260404-200455,2026-04-04T20:05:12.316692,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-b-pass-3-20260401-194923,2026-04-01T19:49:32.885063,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-b-pass-4-20260403-202327,2026-04-03T20:23:36.523853,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-b-pass-5-20260404-003432,2026-04-04T00:34:42.674804,30,30,30,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-c-pass-1-20260328-175515,2026-03-28T17:55:26.626964,29,29,29,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-c-pass-2-20260330-022919,2026-03-30T02:29:29.653957,29,29,29,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-c-pass-3-20260330-050917,2026-03-30T05:09:28.689924,29,29,29,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-c-pass-4-20260402-001716,2026-04-02T00:17:28.183890,29,29,29,0,0,0,0
just-another-coding-agent__GLM-5,glm5-high-c-pass-5-20260403-202413,2026-04-03T20:24:26.464492,29,29,29,0,0,0,0
little-coder__qwen3.5-9b,tb2-leaderboard-k5-v0.1.24-9b-2026-04-26__20-32-42,2026-04-26T20:32:43.755213,445,445,445,0,0,0,0
little-coder__qwen3.6-35b-a3b,tb2-leaderboard-k5-2026-04-24__00-34-46,2026-04-24T18:16:15.115763,445,445,445,0,0,0,0
logos-latest__claude-opus-4.7,2026-04-21,2026-04-21T14:02:19.155813,445,445,445,0,0,0,0
logos-ts__claude-opus-4.7,2026-04-19,2026-04-18T20:27:18.720958,445,445,445,0,0,0,0
logos__claude-opus-4.6,2026-04-09,2026-04-07T09:23:41.305560,445,445,445,0,0,0,0
pilot-real__claude-opus-4-6,pilot-cc-v35-k5,2026-03-25T23:32:56.929599,445,445,445,0,0,0,0
spoox-o-m__GPT-5-Nano,2026-03-22__16-49-45,2026-03-22T16:49:46.425607,445,445,445,0,0,0,0
spoox-o-m__GPT-5.3-Codex,2026-03-15__21-10-02,2026-03-15T21:10:02.977071,445,445,445,0,0,0,0
terminus-2__AfterQuery-GPT-OSS-20B,new-s30-k5-dragon,2026-03-30T22:33:06.565165,445,445,445,0,0,0,0
vix__claude-opus-4-7,2026-04-30__17-57-22,2026-04-30T17:57:23.992624,445,445,445,0,0,0,0
